task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,solver_calls_fd_train,decision_ms_fd_train,nan_or_inf_steps,nan_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,config_name,alpha_fair
medical_resource_allocation,wdro,11,0,0.0,47.2011666612411,41.06209074946271,200.82644203073315,1150.3883670947862,34.021363660551586,203.38355700042638,3.4069425990001037,140,4.0,663.9074679960686,14.268306999838387,0,0.0,0,0,0,71.29484149990091,23.25712367819556,55.182574692677775,149.05792365948938,0.0,0.0,0.0,7.183901076427254,cuda,0.20048233111150818,0.19552674829415026,0.16700148424998865,0.16354861869309043,3.4069425990001037,WDRO,2.0
medical_resource_allocation,wdro,22,0,0.0,42.43968484207963,42.91525374076814,199.46406957475517,1031.4008719489466,31.638330709100323,201.9026060074141,3.1125403770001867,140,4.0,637.9774789975272,13.860312000360864,0,0.0,0,0,0,71.00788946042385,23.40855963453317,52.85997814962126,151.21866308147813,0.0,0.0,0.0,7.243684193299224,cuda,0.18025840356536102,0.1753029363372487,0.15272791366774502,0.1491555333670554,3.1125403770001867,WDRO,2.0
medical_resource_allocation,wdro,33,0,0.0,45.85732091405012,37.63633125297684,191.02312253029424,1117.5355739591241,33.17195150402106,193.18050306396762,3.106161971999427,140,4.0,634.1094899926247,15.240575000461831,0,0.0,0,0,0,75.07949614209778,25.91273376812604,69.52045259751665,147.92014465612246,0.0,0.0,0.0,7.228113877325396,cuda,0.19477447795642155,0.1899428950512505,0.1630219606712471,0.15962353810522117,3.106161971999427,WDRO,2.0
medical_resource_allocation,fpto,11,0,0.0,47.48610536117789,84.9105377401344,279.9188809567283,1156.4364032591066,60.45424818914279,284.29147174526867,3.740214430999913,140,4.0,707.0293300030244,26.325992999773007,0,0.0,0,0,0,49.07408117771438,20.074414216546376,37.22057890031031,118.60720505332745,0.0,0.0,0.878227214799259,6.907458639360537,cuda,0.20169258032414294,0.19655470796290234,0.167840414118009,0.16426721373862688,3.740214430999913,PTO,2.0
medical_resource_allocation,fpto,22,0,0.0,44.862175888459745,91.86639489172136,287.623902313621,1093.6958292768968,64.07855563797105,292.64063004192053,3.3185965849997956,140,4.0,673.6850869983755,14.150015999803145,0,0.0,0,0,0,47.79187513298839,20.312846362724432,36.43552225184712,116.63791557263293,0.0,0.0,0.8685892620110963,6.9614440286876595,cuda,0.19054769695424337,0.18589095234111128,0.16005045194049605,0.15675214653939054,3.3185965849997956,PTO,2.0
medical_resource_allocation,fpto,33,0,0.0,47.052614907661194,62.7309731471796,242.67598315319825,1145.5522056020745,44.292420387369624,245.47866015948867,3.1284733669999696,140,4.0,648.4787410036006,15.125132000321173,0,0.0,0,0,0,57.25654137739031,22.13710375791305,43.71222466237744,122.20649000360567,0.0,0.0,0.881339442346976,7.003163015101788,cuda,0.1998513720917419,0.19470476594632513,0.16656344005619142,0.1629731223111842,3.1284733669999696,PTO,2.0
medical_resource_allocation,dfl,11,0,0.0,30.234738782686776,117.47249607721392,344.5759075021878,758.6992179883073,88.9110739141633,352.57000507775354,3.9458533570004874,140,4.0,1454.720556999746,14.592143000299984,0,0.0,0,0,0,182.13561755338452,40.90845419232622,114.79109625583364,704.2005843393293,0.0,0.0,0.0,6.906858155681517,cuda,0.12841909089247047,0.12895296516358587,0.11380442951466141,0.11422350544506565,3.9458533570004874,DFL,2.0
medical_resource_allocation,dfl,22,0,0.0,30.178726901679596,120.17234857480962,347.55339431015506,757.7488130243446,89.95549778803819,355.9144732539086,5.026093907000359,140,4.0,1759.3445760003306,15.966935000506055,0,0.0,0,0,0,197.09393796800794,41.32771418282605,150.8318001448713,614.1126942831795,0.0,0.0,0.0,6.971634056323194,cuda,0.12818118591535724,0.12879142876641633,0.11361755320476878,0.11409674585070531,5.026093907000359,DFL,2.0
medical_resource_allocation,dfl,33,0,0.0,30.615220933708173,120.83177835812647,349.5535951634975,771.2166023498748,91.0504401846774,358.037871356423,4.052186789000189,140,4.0,1467.667904999871,15.294568998797331,0,0.0,0,0,0,191.12836617848666,35.56020142571522,124.73945496240208,902.9697192699958,0.0,0.0,0.0,6.891244563776805,cuda,0.13003515155322798,0.13108049316314854,0.11507177575360844,0.11588962408552592,4.052186789000189,DFL,2.0
medical_resource_allocation,plg,11,0,0.0,29.940924533031392,24.55516916494111,123.97680646154912,754.6725230956745,24.171687775591273,124.66166793066833,4.585514049000267,140,4.0,1467.250628002148,15.326329999879817,0,0.0,0,0,0,189.3128300315905,79.6426414786652,136.2491547403255,601.0637907361426,-0.08322723952159089,0.0,0.0,7.71381224010905,cuda,0.12717114365194052,0.12826856450268778,0.11282327831771546,0.11368619895851242,4.585514049000267,PCGrad-nf,2.0
