task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,fdfl-scal,11,3,5.0,41.26394791663597,49.07808472642614,210.2960835855002,76.86971479074282,31.364173480896916,229.9466347616456,4.397527237000077,140,4.0,1844.1148950007573,12.62347300030342,0,0,209.9711900468636,87.87333811809143,157.00927540328925,393.74615950642186,0.37800038423413646,0.25070930292396887,0.49417067472946885,16.707275590100988,cuda,0.07089544161645701,0.0744185571665873,0.07630512731505804,0.08040195462300473,1.4570350001577026,11.166438000145718,18.692898570000125,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,0,0.0,32.12992827882181,42.67649247742308,174.34576582457862,57.48417255377467,30.62257186417954,181.32253760856435,5.075564321999991,140,4.0,2009.941256000502,13.065043999858972,0,0,2.261441817429042,0.4196841963477768,2.057667944547864,22.00436317025002,0.3426593338853195,0.3453605103165297,0.6888522601762601,16.557211384048994,cuda,0.0552023150822614,0.05565116500057863,0.058427657014282104,0.05893072870748311,1.386404999948354,11.678638999910618,5.075564321999991,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,1,0.5,36.34418120259443,52.08989137055414,190.20607805130442,67.27565705194706,47.57986455267917,226.65190203148504,3.973966799999971,140,4.0,1618.8537780008119,11.887231000173415,0,0,27.205840965594238,12.384632345877227,26.225870376561904,45.635232737652586,0.4357350436887045,0.22643352339585943,0.4440515786587846,16.66602823336629,cuda,0.062442807987058147,0.06513042677300226,0.06660159883472602,0.06966792870173752,1.3636040000619687,10.523627000111446,9.049531121999962,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,2,1.0,36.95154224361397,52.26595009393849,190.73710259704035,68.44093603930787,48.87398492907666,229.42347061518367,4.649559971000144,140,4.0,1962.5693559999036,24.243174000048384,0,0,51.65899784350315,24.302648200039183,43.25941323117634,88.04283048356527,0.43123481812460907,0.23574417117821198,0.4483124072370171,16.680776475256334,cuda,0.06348631282354888,0.06625854831179033,0.06779005335731655,0.0709602729877682,3.5182970000278146,20.72487700002057,13.699091093000106,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,22,3,5.0,38.161077890510455,54.22103656624196,193.92622134216163,70.62221046994239,51.307360141755574,233.52512072120965,5.452203281000038,140,4.0,2237.827579999248,14.67675099979715,0,0,258.97722211609533,113.40475789563921,233.31721247483074,431.25874134336954,0.4377015359326433,0.22793534212444566,0.44439558837300547,16.66382204037843,cuda,0.06556441170082578,0.06837026807495171,0.0701647203101112,0.07338781248820454,1.441313999976046,13.235436999821104,19.151294374000145,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,33,0,0.0,32.182224383099424,33.490627390261395,169.5344703019789,57.58695254829331,30.615070531467083,176.45496870897793,4.012381634000121,140,4.0,1630.4306890017415,12.05981599991901,0,0,2.0411416452257405,0.28506108710495914,1.8146456289311557,9.121658510142407,0.33820196336991354,0.3169610423422947,0.7201103578410304,16.80173334538207,cuda,0.05529216483234039,0.05575066763199191,0.0585283224866316,0.05904231617742236,1.5194269999483367,10.540388999970673,4.012381634000121,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,33,1,0.5,36.483564578940445,42.85345184119375,184.366795972425,66.37085139342526,38.427373096728516,217.24529483166936,4.7067787460000545,140,4.0,1972.771905999707,16.04192099989632,0,0,25.929927757098664,10.645532836089037,23.05829719772738,43.97113616815372,0.448859688551792,0.27125156624072666,0.47803071618883747,16.911650120105477,cuda,0.06268228206840411,0.06425447280586895,0.06687410348619759,0.06866660960543243,3.8422840000293945,12.199636999866925,8.719160380000176,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,33,2,1.0,36.978178830028355,43.958068128094716,185.88163731666762,67.40702104373804,39.9164477441981,220.12016419062502,5.180928300000005,140,4.0,2149.784433999457,11.956849000171133,0,0,50.36075985567627,22.66585720456333,47.8662754637874,84.44214819552667,0.45106617415223843,0.26903131510536316,0.45896734650932597,16.914868222803662,cuda,0.06353207704758333,0.06525760193892216,0.06784223515877061,0.06981346098591978,1.3552390000768355,10.601610000094297,13.90008868000018,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,33,3,5.0,37.5710500861677,45.49285878433814,187.93518098973578,68.6975288163278,37.766556712211596,222.1503054830666,3.9935413630000767,140,4.0,1627.0374010002797,12.717389999806983,0,0,243.11764019910805,106.3114864507209,224.7099057032258,414.6116544326677,0.44258786485561746,0.2700895490663569,0.46532587237965056,16.909719843088425,cuda,0.06455068703639531,0.06650695907143961,0.06900500769185638,0.07124526499446003,1.5146099999583384,11.202779999848644,17.893630043000258,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,44,0,0.0,30.68546966784686,28.05064226309351,160.34092602408523,55.42116998497136,27.03868549540818,165.83532346951094,4.648007637000092,140,4.0,1951.2843850002355,34.7365909999553,0,0,1.5232755028973535,0.23831173584914436,1.119273358783148,7.0999058415496075,0.2866735979529078,0.24110650763457656,0.660126515682388,16.545265726728683,cuda,0.05272059589900126,0.053653945744344386,0.05565474734356222,0.056695904741258386,7.031907000055071,27.704683999900226,4.648007637000092,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,44,1,0.5,36.18960814034995,45.696527866471,192.1555899728431,67.30142153333395,52.750278056221255,223.5006675702304,5.347444850999864,140,4.0,2161.921797998957,15.182587000026615,0,0,31.720687876216704,14.552728164041913,34.36040739808017,44.78910283544995,0.4120146767485499,0.23565444326464524,0.38824754495068,16.438284352353385,cuda,0.06217723656059237,0.06515536969800435,0.06629955998568551,0.06969646889553863,1.6287290000036592,13.553858000022956,9.995452487999955,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,44,2,1.0,37.07020470193072,46.94892124859972,195.42407184102134,69.0318670298982,51.791941475397145,229.48156406815016,4.003603982999948,140,4.0,1614.6970120007609,12.423015999956988,0,0,63.54586608246694,30.24468183126886,68.50151025687437,88.23511012585179,0.41873654683793315,0.2316971968475334,0.3762197094844442,16.43708503806196,cuda,0.06369018636959581,0.066830636185727,0.06802255561398683,0.07161683481823797,1.3724519999414042,11.050564000015584,13.999056470999903,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,44,3,5.0,38.14574970619185,50.391062699845214,201.47035541296236,70.92629002879266,53.726706245312,231.24824515394542,4.213145262999888,140,4.0,1750.3662210001494,32.42515999977513,0,0,311.7208312178611,147.52148481050367,339.4427269339461,428.38416983375,0.42743541094980164,0.23069821621560738,0.41420330802192334,16.390092462603818,cuda,0.0655380764020647,0.06866465139737059,0.0701345605926083,0.07372709679751194,1.379316999873481,31.04584299990165,18.21220173399979,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,55,0,0.0,30.365765826414417,27.820136649973545,159.31314473814965,54.68728899618793,25.751396802414295,165.17541995126817,5.347930685999927,140,4.0,2095.6812760000503,13.214433000030112,0,0,1.1991924578351312,0.22747977568043132,0.7446793023952676,4.497351506932521,0.3171387069913954,0.18416173648620035,0.637772469490144,16.694610625041854,cuda,0.052171313870276785,0.05294346614303555,0.05504297837123747,0.05590317393980589,1.388942999938081,11.825490000092032,5.347930685999927,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,55,1,0.5,36.61435748417034,46.45358590106946,192.70455853001482,67.73233590344807,53.74560122050948,220.75733125360034,4.039845849999892,140,4.0,1659.2852780001976,11.87513000013496,0,0,27.342178221779324,12.11736797450297,28.36221965982744,42.817916033818584,0.48458859714870417,0.22856384429579416,0.4364033520452383,16.592433199973197,cuda,0.06290699689199068,0.06557254342856311,0.06712993980677501,0.07017403327290832,1.4245700001538353,10.450559999981124,9.38777653599982,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,55,2,1.0,38.23768496122432,48.86178954428154,197.3826389531982,70.72527453861585,55.04916197999038,225.4018927093299,4.27895920800006,140,4.0,1751.7413609982668,23.160456999903545,0,0,54.47712740360544,25.117887033380118,56.626269847653816,85.05048082296041,0.4830613415685504,0.22621379175840672,0.4072801613379241,16.57495725023131,cuda,0.06569603003555649,0.06847004572219909,0.07031547777545745,0.07350278475508898,1.5045979998831172,21.655859000020428,13.66673574399988,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,55,3,5.0,39.34842300169146,49.80393275120329,200.92495125754303,72.79821461778613,57.493749758387885,230.67632819947247,5.742842322000115,140,4.0,2420.0745320013084,12.49268900005518,0,0,275.77834199743876,129.43922500181256,287.52199848692294,408.6193261476486,0.46963514411837254,0.22527516904274827,0.41982366304821256,16.576748197548717,cuda,0.06760438509790302,0.07047688560972291,0.07250611652115244,0.07582047667093507,1.500213000099393,10.992475999955786,19.409578065999995,FDFL-Scal,0.5,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,11,0,0.0,11.360287168097265,60.11537900187104,224.60243113866997,1140.0129543176745,40.90222629576134,232.6127151396908,4.02032225500011,140,4.0,1586.8907630001559,11.929592999649685,0,8,274158.2105212297,383.35865958876445,540.6296098340536,3522491.398115259,0.33520585565105954,0.2743688319411361,0.9073585185568577,16.35129178463301,cuda,0.19336337174540014,0.1937632823373087,0.16203226638554274,0.16231298550072099,1.3426429998162348,10.58694999983345,4.02032225500011,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,11,1,0.5,11.473775209358529,57.947325564351836,220.92901552932906,1153.7320877919647,39.83503381700568,229.36650603650423,4.627149017999955,140,4.0,1962.6612339991425,22.286256999905163,0,10,389866.3050392542,374.97653840121234,530.850389724028,4300971.714685327,0.31870345274740425,0.2505679824007277,0.901310620247335,16.35797884393236,cuda,0.19529505093504992,0.19609506665847296,0.1633864800011306,0.16394605422652828,1.4356970000335423,20.85055999987162,8.647471273000065,FDFL-Scal,2.0,64,FDFL-Scal
medical_resource_allocation,fdfl-scal,11,2,1.0,11.465854117130483,55.47116619913051,216.94047963076648,1152.5716336164724,38.459054484790556,225.3435855865109,5.407355411000026,140,4.0,2197.68887500004,11.995128000080513,0,12,463899.3917140174,375.2091498983074,551.5687041059182,4401971.34289744,0.3031301764123391,0.22627482899818566,0.8969537674343552,16.375027600382545,cuda,0.1951602260773278,0.19589782906639663,0.16329210244710804,0.1638081651334115,1.4195120002113981,10.575615999869115,14.05482668400009,FDFL-Scal,2.0,64,FDFL-Scal
