task,method,seed,stage_idx,lambda,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,33,2,1.0,1165.7979147690276,0.008068364179668608,248.83794000424507,,,,1146.9692904125804,0.0065555242438724015,249.74206393243236,2.340282400000433,140,4.0,432.2795999905793,14.104800000495743,0,0,56.14522227583012,22.03042625982578,42.8910019504981,121.00545242125422,0.0,0.0,0.4736557385827813,6.989216482005382,cpu,,0.19494562198501666,0.19763044944677974,,,,,0.16314183540936147,0.16501788973223833,3.6698999974760227,0.0,10.43490000301972,6.9762359999949695
medical_resource_allocation,fpto,33,3,5.0,1165.8409876343048,0.008058478047409112,248.75276442406278,,,,1147.0133079910283,0.006549153902015603,249.65800058638595,2.359490000002552,140,4.0,427.58620003587566,8.257899993623141,0,0,56.1652613097509,22.030801847001392,42.90232649050229,121.04029855551562,0.0,0.0,0.4737641739835034,6.989453488497528,cpu,,0.1949531034705983,0.19763775132098613,,,,,0.16314707489723265,0.16502298053229622,3.638199996203184,0.0,4.619699997419957,9.335725999997521
medical_resource_allocation,fpto,44,0,0.0,1142.137182993707,0.008480764097200333,266.9544317391237,,,,1128.2493173642442,0.006427627726784957,267.9347829730204,2.3408989000017755,140,4.0,424.92159999528667,17.85589999781223,0,0,52.610812421247516,20.595870075598146,39.77280671176278,119.48897915803288,0.0,0.0,0.5454842367790397,6.948102715537436,cpu,,0.1917638656642891,0.193619393160131,,,,,0.16090760190769832,0.16221200348255052,7.539799997175578,0.0,10.316100000636652,2.3408989000017755
medical_resource_allocation,fpto,44,1,0.5,1142.1368009053267,0.008479499103380195,266.9422737527309,,,,1128.2488751987767,0.006426830962174668,267.92272030214576,2.3693281000014395,140,4.0,444.2702000233112,18.2383999999729,0,0,52.61364558721278,20.595925025262975,39.77431666582705,119.49284192640165,0.0,0.0,0.5454941536949235,6.948135204107279,cpu,,0.19176379051125508,0.19361932838707094,,,,,0.16090754899424348,0.16221195801906738,7.801200001267716,0.0,10.437199998705182,4.710227000003215
medical_resource_allocation,fpto,44,2,1.0,1142.1365028514847,0.008478120801251876,266.9289955775065,,,,1128.2486024366754,0.006425966524531979,267.909566747127,2.2966894999990473,140,4.0,399.66029996139696,13.960800002678297,0,0,52.61674162050541,20.595979982884216,39.7759958810436,119.49739464447288,0.0,0.0,0.5455089574896232,6.948169938061644,cpu,,0.1917637441510099,0.19361927785986208,,,,,0.16090751635309966,0.1622119225545837,4.881300003034994,0.0,9.079499999643303,7.006916500002262
medical_resource_allocation,fpto,44,3,5.0,1142.1391019886705,0.008467887630591031,266.8312720743378,,,,1128.2505473152596,0.006419541146705177,267.8127287220688,2.3081472999983816,140,4.0,407.0690999578801,14.172299997881055,0,0,52.63957774745048,20.596419930277147,39.78818267215587,119.53153148966398,0.0,0.0,0.5455969303873789,6.948430840166445,cpu,,0.19176407471397133,0.19361971847537846,,,,,0.16090774909454755,0.16221223181759323,3.7262999976519495,0.0,10.446000000229105,9.315063800000644
medical_resource_allocation,fpto,55,0,0.0,1234.8319049276251,0.005728203101282969,219.32065242016245,,,,1220.2402863769403,0.005002042846768084,221.0018829066309,2.305385400002706,140,4.0,396.6137000315939,13.944699996500276,0,0,62.45607372992629,22.794526671111345,51.44478905084496,119.5413781014104,0.0,0.0,0.5224553053055849,7.111071187456477,cpu,,0.20739918983651134,0.20933335123559554,,,,,0.1717735042248905,0.17309813793005566,4.882799999904819,0.0,9.061899996595457,2.305385400002706
medical_resource_allocation,fpto,55,1,0.5,1234.848987701238,0.005727442316985187,219.31339523726552,,,,1220.2573579933378,0.005001773728998793,220.9948085879756,2.325318999995943,140,4.0,406.55390001484193,12.660199994570576,0,0,62.45838157180745,22.794594726057,51.447130552314064,119.54685824444697,0.0,0.0,0.522466070935949,7.111099946444595,cpu,,0.20740209142847613,0.20933624717166144,,,,,0.17177549459360214,0.17310011806993064,3.698599997733254,0.0,8.961599996837322,4.630704399998649
medical_resource_allocation,fpto,55,2,1.0,1234.8632918547728,0.005726735301284203,219.30662756907068,,,,1220.271832912801,0.005001517860411586,220.98822893661176,2.3474550999962958,140,4.0,434.80210001871455,11.498400002892595,0,0,62.460542733264305,22.794662792189044,51.44929186963274,119.55149960326999,0.0,0.0,0.5224762392023788,7.111127883789449,cpu,,0.20740455167061297,0.20933867206559564,,,,,0.17177718220760374,0.17310177612036284,3.642300005594734,0.0,7.856099997297861,6.978159499994945
medical_resource_allocation,fpto,55,3,5.0,1234.9975158467169,0.005721023116159185,219.2531496792589,,,,1220.4068747518868,0.004999449334920358,220.93624500609624,2.3502767000027234,140,4.0,427.86710002837935,14.119799991021864,0,0,62.477723418519545,22.79520772394347,51.46753864929158,119.58766775338488,0.0,0.0,0.5225502753417361,7.111347547040334,cpu,,0.20742750417294642,0.2093614262217992,,,,,0.1717929262469703,0.1731173342247828,3.6705999955302104,0.0,10.449199995491654,9.328436199997668
