task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,solver_calls_fd_train,decision_ms_fd_train,nan_or_inf_steps,nan_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,config_name,alpha_fair,predictor_family,nce_pool_size,lancer_surrogate_loss,ffo_backward_ms
medical_resource_allocation,fplg,33,2,0.2,52.00406552479524,142.26066488217015,386.2643474894894,77.73547686637926,106.74784229469309,395.93932477620996,4.63507037300019,140,4.0,1780.001299999185,16.118491999804974,0.0,0.0,0,0,0,0.009010213885415175,0.00900876889099303,0.009010221794029338,0.009011704691885435,0.6138784333442568,0.8668799824801785,0.8612558702425329,6.570179944586898,cuda,0.07537598048787764,0.07525671254018018,0.08152068180929342,0.08138119363580683,12.579851595000264,MGDA,0.5,,,,
medical_resource_allocation,fplg,33,3,0.5,51.99719967315468,142.25835547112783,386.26037674636103,77.72510516891327,106.74589252967125,395.93515165286976,3.6423268930000177,140,4.0,1539.097140997228,15.793267000162814,0.0,0.0,0,0,0,0.009006985314191212,0.009005472061973536,0.009006999998126406,0.009008720814527076,0.6138182186636791,0.8668173653758365,0.8613080954427638,6.570179178606092,cuda,0.07536602895247231,0.07524667156678919,0.08150904175312673,0.08136945199675892,16.22217848800028,MGDA,0.5,,,,
medical_resource_allocation,fplg,11,0,0.0,40.89085841491533,36.458350716493236,187.07437190647497,61.74418909562337,32.24306628744428,189.8937455083808,3.5444820969999,140,4.0,1576.5280889993392,15.350101999956678,0.0,0.0,0,0,0,81.3979506263968,26.08700486735933,69.976527757259,183.44889482232531,0.3961010645066721,0.5796823765458899,0.715374896444461,7.256479150593097,cuda,0.059268222876645196,0.05977534167292858,0.06300225454048158,0.0635755945598002,3.5444820969999,PCGrad,0.5,,,,
medical_resource_allocation,fplg,11,1,0.05,33.069411292437735,18.049512411588008,130.96799404850958,50.46948173356998,22.071253221067245,133.75380338547288,5.53370804899987,140,4.0,1717.2896670001592,16.983087000198793,0.0,0.0,0,0,0,46.631361287809185,34.419614364208826,42.9802180459168,67.0010038583865,0.27326775900369754,-0.3091822690334148,-0.1471301792553311,7.665302544746338,cuda,0.04793162371384043,0.04886015281547549,0.05034472828602155,0.051370103944342944,9.07819014599977,PCGrad,0.5,,,,
medical_resource_allocation,fplg,11,2,0.2,31.68168342626052,17.63608994213125,125.29617149020793,48.356855995398064,18.869257693110974,125.62389001271927,3.6612979129999985,140,4.0,1575.1296899986755,15.45373500016467,0.0,0.0,0,0,0,26.255243958506664,20.428973872049102,25.346891604783593,34.26041169223328,0.2733830980987968,-0.38411810707371324,-0.8048379391149768,7.798459994878224,cuda,0.04592021657657374,0.04681489273228492,0.04813037376371498,0.04911416720145661,12.739488058999768,PCGrad,0.5,,,,
medical_resource_allocation,fplg,11,3,0.5,31.076184410690985,18.114882320390358,123.83459778648636,47.57055762664993,18.873449290412022,123.61787096495584,3.562029588999849,140,4.0,1571.9619070007411,15.22660800014819,0.0,0.0,0,0,0,17.729826610459778,16.1130849036557,17.53600560867818,20.128353073377106,0.1957138428480893,-0.2957368118017666,-0.9205061764707719,7.854098139874415,cuda,0.04504259130781014,0.04605366719289051,0.047167120646245134,0.0482770000880151,16.301517647999617,PCGrad,0.5,,,,
medical_resource_allocation,fplg,22,0,0.0,39.01091447188196,35.89967940547169,183.17245240757367,59.19544720361546,29.59467419343015,186.4862909068087,3.577035200000182,140,4.0,1578.9423290007107,17.3798110001826,0.0,0.0,0,0,0,81.42190906023444,25.842091205998837,72.4429693116339,187.01130478372454,0.3943904272310983,0.5864608585038898,0.7252621124362023,7.331964428574586,cuda,0.05654338556751551,0.05730787194561656,0.05993215236667553,0.060791715810647455,3.577035200000182,PCGrad,0.5,,,,
medical_resource_allocation,fplg,22,1,0.05,32.831497946149625,19.83280999815398,129.38369557763681,50.19824974789299,20.66866697434578,132.8403720727167,5.845078908999994,140,4.0,1885.871517999476,15.509895000150209,0.0,0.0,0,0,0,46.59957188508853,33.51700773657385,42.45889198238275,70.92309846414994,0.23301858874614492,-0.34651283780245523,-0.22222731006907295,7.72707270069333,cuda,0.047586786217643756,0.048597569650096796,0.04996443300976524,0.05107993011140803,9.422114109000177,PCGrad,0.5,,,,
medical_resource_allocation,fplg,22,2,0.2,31.63097447577468,20.019940394286515,124.89931117298367,48.32018295352157,19.04620582029574,125.68710144085487,3.645943258999978,140,4.0,1633.150462999538,15.459773999964455,0.0,0.0,0,0,0,25.709894647855748,20.126092528467,24.921112824127103,33.3258513726195,0.2617649202477135,-0.3680632471236111,-0.8077150740507614,7.8554819232279725,cuda,0.045846717767897734,0.04677938908991043,0.04804963586211854,0.049075091908941944,13.068057368000154,PCGrad,0.5,,,,
medical_resource_allocation,fplg,22,3,0.5,31.01794044988992,19.99403471627896,123.49845315147194,47.67036458806069,19.451341432843094,124.29657353207875,3.621358581999857,140,4.0,1613.9165630006573,15.248733000134962,0.0,0.0,0,0,0,17.848764290907294,16.161941741579998,17.66674354905033,20.140238808357303,0.16568136189468846,-0.24585564080988773,-0.9205303137415873,7.917720989424376,cuda,0.04495817106857356,0.046150291592806515,0.04707455705775337,0.04838318991560167,16.68941595000001,PCGrad,0.5,,,,
medical_resource_allocation,fplg,33,0,0.0,38.782530601158214,33.65481327766623,178.43391782220965,58.818529935632796,29.265709101423834,180.83105310201236,4.344374258000016,140,4.0,1621.929526000713,15.596885000149996,0.0,0.0,0,0,0,84.94068208627692,29.747465258252884,72.83513914133766,181.7055737834595,0.3639604419672293,0.5369280342275037,0.6262434834380864,7.280072131792996,cuda,0.0562123603292058,0.056942973502441645,0.0595603904590374,0.06038126211086459,4.344374258000016,PCGrad,0.5,,,,
