method_label,lam,alpha_fair,unfairness_level,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-Scal,0.5,2.0,high,5,0.09835973539844121,0.056696329884160165,0.12502047723553458,0.04463074152139159,0.9237340077999618,0.4118659533600535,0.1279667863658897,0.023901780082984537,0.002656599601381881,0.02675540847549813,0.3957556436658646,0.11952920324840177,20.276095556399923,1.3419989235005936
FDFL-Scal,1.0,2.0,high,5,0.07741165362858604,0.009525489976593157,0.0965192164286934,0.04200396230988515,0.7789487277788888,0.07831553831857752,0.10716120941409835,0.02708990472194468,0.0033001978396341785,0.019708971790381363,0.3438601420646775,0.11726586933952714,20.30687565819999,0.4128215700451955
FDFL-Scal,5.0,2.0,high,5,0.09697784328057643,0.03291774419324013,0.04516351251633488,0.033519657006063935,0.9564697538773478,0.3131119565563808,0.1422924611862642,0.03313364948144324,-0.00722720492793958,0.041618047672955426,0.23570452583577625,0.16415674851184792,20.162860742599968,0.7753913619267646
FDFL-Scal,0.0,2.0,medium,5,0.07751292796511007,0.010455693540941977,0.13606210920602496,0.04731891884088674,0.7213212746930634,0.06540801598054882,0.13201431170274408,0.014278424409668498,0.0229607186287206,0.016879132263170886,0.25827531065404963,0.03687079154916624,21.62004330419986,1.6522570854829686
FDFL-Scal,0.5,2.0,medium,5,0.09771996047123789,0.05509428637795864,0.1188831987838248,0.045250751455600674,0.8437721048034886,0.3624026217474421,0.1387316775941041,0.03076198839087532,0.01956742973944716,0.03029872673472665,0.2706465071852523,0.07967082044770567,21.25384484739998,1.4438831838498565
FDFL-Scal,1.0,2.0,medium,5,0.08832058504234805,0.03294317404855512,0.13867521275601075,0.04047316034463832,0.8401362124919395,0.33712497039460243,0.12478794972950624,0.03174860834184692,0.01286903235459968,0.0316676557628582,0.23837228428265794,0.06368582153269679,20.84025984739992,0.35483949900777656
FDFL-Scal,5.0,2.0,medium,5,0.09608148308042294,0.04025201116189127,0.08754299126782769,0.04614393418673321,0.8710996206536219,0.3273432362602661,0.15043558653078376,0.024150608030664857,-0.0026065867009991196,0.03713669115777707,0.19212088612375391,0.08788457120990127,20.842131899000016,1.1697075894941114
FDFL-Scal,0.0,2.0,mild,5,0.07981593459599022,0.018733530092308548,0.11775515749905538,0.037561911240639304,0.7374306344903646,0.1856267211853018,0.13105828813238965,0.017473969653263036,0.01043821847602016,0.019535342080201502,0.21241161664141064,0.03518466239500462,22.03893161919996,1.3568180086283963
FDFL-Scal,0.5,2.0,mild,5,0.0929258712944073,0.04884095812926113,0.0843732421659541,0.040753469289645676,0.8276545251992611,0.39836768449519916,0.1326565686749869,0.04305680878428232,0.02236033456236228,0.027937063315223897,0.2069355269476103,0.0651641364251387,22.314237409399993,1.4739026869948015
FDFL-Scal,1.0,2.0,mild,5,0.0916983450627088,0.04256323827209616,0.08263329945455247,0.03957579961116847,0.7722920215790994,0.2701391179328,0.13125266157415955,0.029089072774416233,0.00392403405967072,0.015204305048292364,0.18917336743790267,0.03768348218716568,22.6183790178,2.798057762647732
