task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,val_decision_ms_eval,test_decision_ms_eval,test_decision_ms,test_decision_alloc_gap,test_decision_selection_gap,test_decision_welfare_gap,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fpto,11,0,0.0,,,,0.15038438557679004,0.1377291466534063,0.5653935070438326,0.2550282519996472,0,400.0,0.0,1277.4297599999045,0,0,1.5842328837232318,0.9064324772651932,1.4843766734048565,3.5857210420897627,0.0,0.0,0.20652168931400106,16.323595652935413,cpu,,0.009841011091183367,,0.0193259341472124,,,0.0,1277.4297599999045,1277.4297599999045,0.17565714052508336,0.13,0.005006214242285312,0.2550282519996472,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,11,1,0.5,,,,0.16268799039215268,0.0960430689108272,0.5970544987099627,0.25770967100015696,0,400.0,0.0,1247.1797440002774,0,0,2.1879391864906963,1.210303282500882,2.051092872630883,5.547171375318725,0.0,0.0,0.29100006309180265,16.32519981564266,cpu,,0.01063513316514196,,0.020887765971619274,,,0.0,1247.1797440002774,1247.1797440002774,0.18498336309938268,0.14625000000000002,0.016885141936620718,0.5127379229998041,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,11,2,1.0,,,,0.19033031123414595,0.1116944986647666,0.6858418103500075,0.2680279209998844,0,400.0,0.0,1188.0943380001554,0,0,2.738176045280507,1.386776472014124,2.5195029822947066,5.615742312105903,0.0,0.0,0.27877628758074113,16.313651899492342,cpu,,0.012475451099082381,,0.024452388450106503,,,0.0,1188.0943380001554,1188.0943380001554,0.20286161104452843,0.15041666666666667,0.00733263165397946,0.7807658439996885,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,11,3,5.0,,,,0.3161985789617197,0.028737429757562143,1.0986349735414,0.2564365650000582,0,400.0,0.0,1183.6683699998503,0,0,8.997736679771167,3.7545947188713664,8.59451455811877,20.994634247254258,0.0,0.0,0.1685887471221072,16.2941033606917,cpu,,0.02097460909470897,,0.04067317929459305,,,0.0,1183.6683699998503,1183.6683699998503,0.14681883755522507,0.10708333333333336,0.10835814629326951,1.0372024089997467,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,22,0,0.0,,,,0.17224391373464562,0.06550640277379738,0.6170374586827043,0.28837856900008774,0,400.0,0.0,1260.4039009997905,0,0,1.9537964263247911,0.9749758781723782,1.7634532604845852,4.753318799922426,0.0,0.0,0.2252286274484224,16.3317482472481,cpu,,0.01137178682264904,,0.02233899379468745,,,0.0,1260.4039009997905,1260.4039009997905,0.15805648175482928,0.11666666666666664,0.06637330946014663,0.28837856900008774,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,22,1,0.5,,,,0.18590078507948413,0.01804444610412869,0.6667671957087754,0.2947375710000415,0,400.0,0.0,1190.0618650001888,0,0,2.2273856481014698,1.1736223766086942,2.132553504570898,5.949175604087521,0.0,0.0,0.10349820628880181,16.325483096818715,cpu,,0.012233161254063582,,0.02401650568372044,,,0.0,1190.0618650001888,1190.0618650001888,0.1631464307398911,0.12125,0.06867067208544975,0.5831161400001292,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,22,2,1.0,,,,0.23578644482716787,0.0072459186811645055,0.77517199725645,0.2625507060001837,0,400.0,0.0,1303.1806959997994,0,0,3.274293874584761,1.2762406552534369,3.0618165867839178,7.0625955097662745,0.0,0.0,0.07375028244124038,16.31907353965261,cpu,,0.015583115086661268,,0.030463222812656898,,,0.0,1303.1806959997994,1303.1806959997994,0.17519304795233837,0.17124999999999999,0.041692243291815534,0.8456668460003129,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,22,3,5.0,,,,0.4074530999286145,0.008694012764595593,1.3765420760775635,0.25822980900011316,0,400.0,0.0,1255.3787589999956,0,0,15.365524586474777,8.02571216516312,14.450159128928359,30.152078694947523,0.0,0.0,0.09052008314067152,16.317116746455657,cpu,,0.027281575949376594,,0.05252860749494961,,,0.0,1255.3787589999956,1255.3787589999956,0.21219441794745475,0.15541666666666665,0.01990560336591657,1.103896655000426,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,33,0,0.0,,,,0.17867589840587697,0.13259067812263126,0.5690195437499335,0.2504575719999593,0,400.0,0.0,1199.29685399984,0,0,2.15030749063707,0.9178469376717473,1.7985800842199346,7.757903208530162,0.0,0.0,0.326043218517059,16.385059892913006,cpu,,0.011838815372835544,,0.02318850583850325,,,0.0,1199.29685399984,1199.29685399984,0.20161496402066864,0.14708333333333332,0.004246464532620786,0.2504575719999593,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,33,1,0.5,,,,0.1833354686041114,0.05163252549510959,0.5872777299441592,0.25234162500009916,0,400.0,0.0,1290.243548000035,0,0,2.3256746395065617,1.1121077045682928,2.0341238910089707,4.744001309022871,0.0,0.0,0.20919264372959753,16.37356526175168,cpu,,0.01206015032371301,,0.023620367482801913,,,0.0,1290.243548000035,1290.243548000035,0.18934299062464538,0.14541666666666667,0.03910492546053501,0.5027991970000585,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,33,2,1.0,,,,0.24700399621898966,0.024415626537572992,0.7481654963860007,0.28845307499977935,0,400.0,0.0,1274.2104399999334,0,0,3.793984103573353,1.4420649787777082,3.293459458228213,9.689680096473758,0.0,0.0,0.08543128515883627,16.360550476389797,cpu,,0.01641128185131929,,0.03195426950948138,,,0.0,1274.2104399999334,1274.2104399999334,0.20485983758856158,0.14875000000000002,0.050095902722964936,0.7912522719998378,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,33,3,5.0,,,,0.3949838919362557,0.03223220510425559,1.270198645078251,0.25819027200031996,0,400.0,0.0,1292.535523999959,0,0,18.102637768798633,3.128196675200935,15.90114770304528,41.32924232816201,0.0,0.0,0.14052651770713306,16.346676047876407,cpu,,0.02660154776393148,,0.051147040363867705,,,0.0,1292.535523999959,1292.535523999959,0.27261312743887384,0.15166666666666667,0.007021252877274953,1.0494425440001578,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,44,0,0.0,,,,0.17130681570159417,0.15517439938568603,0.6002959409078643,0.25772690800022247,0,400.0,0.0,1277.21091300009,0,0,2.066573798129516,0.7252557510459463,1.6108623028913873,4.8805522045634975,0.0,0.0,0.24925044506018437,16.564307125450036,cpu,,0.011241325180925372,,0.022014919000165372,,,0.0,1277.21091300009,1277.21091300009,0.19508121589289512,0.16374999999999998,0.012317188265797752,0.25772690800022247,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,44,1,0.5,,,,0.19165336003045533,0.07604733870591042,0.6420327111539306,0.2555035059999682,0,400.0,0.0,1297.2700830000576,0,0,2.5669863676252516,0.7863242147583372,2.2133574278919794,6.301446299909495,0.0,0.0,0.17516741859965035,16.551635291463572,cpu,,0.012499100110231176,,0.02446325551695535,,,0.0,1297.2700830000576,1297.2700830000576,0.19543226367388006,0.15875000000000003,0.04001194221440929,0.5132304140001906,FPTO,0.5,medium,0.4,0.6,FPTO
md_knapsack,fpto,44,2,1.0,,,,0.2251931590482954,0.07871524269658439,0.7442086315068598,0.25855238699978145,0,400.0,0.0,1221.0663959999692,0,0,3.6691702317649004,1.7393350119153093,3.079341232970041,10.431083814438079,0.0,0.0,0.01635453560295146,16.547314465618783,cpu,,0.01469789724523531,,0.028710292642705762,,,0.0,1221.0663959999692,1221.0663959999692,0.21769408309305754,0.16208333333333333,0.02259928291640012,0.7717828009999721,FPTO,0.5,medium,0.4,0.6,FPTO
