task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,hidden_dim,config_name,lam
medical_resource_allocation,fplg,11,0,0.0,,,,816.909299669268,31.461406293626883,179.78146699318805,4.9436079680000375,140,2.0,1912.4063080005271,12.892670999917756,0,0,81.89478786243477,20.01349679144256,90.3835483049994,132.56546467503873,0.1159841280097277,0.0810511174139622,0.8593457362131838,7.249727168060063,cuda,,0.1388466917645932,,,,0.1219186856041671,4.9436079680000375,FDFL-Scal,2.0,64,FPLG,0.0
medical_resource_allocation,fplg,11,1,0.5,,,,757.1028424174265,25.54337550894236,129.18978137052997,4.17226408800002,140,2.0,1616.6075190000129,11.81173299994498,0,0,40.42654769641498,17.78833497141769,32.776113637773435,103.86989836214892,-0.1358889450930638,-0.2909292012418248,0.3590476083648327,7.608691579463991,cuda,,0.1286816358165942,,,,0.1140105692633989,9.115872056000056,FDFL-Scal,2.0,64,FPLG,0.5
medical_resource_allocation,fplg,11,2,1.0,,,,752.1516291173966,24.56537826419699,125.97708059709892,4.164084930000058,140,2.0,1642.755158000341,12.194296999950891,0,0,23.9461508295706,12.96952517774122,17.86128833972476,136.06792230304987,-0.4842630639089395,-0.5319448372968305,0.4552684185569232,7.677265956141811,cuda,,0.127840098589379,,,,0.1133494887699703,13.279956986000116,FDFL-Scal,2.0,64,FPLG,1.0
medical_resource_allocation,fplg,11,3,5.0,,,,755.1337095781446,22.959724904732575,142.28207056856212,4.633269074000054,140,2.0,1840.6545269999697,11.95399899995664,0,0,160.33354615071474,45.29221020731688,97.38062536339528,718.4043771421634,-0.0660379418468895,-0.2223354137817637,-0.2119235046496248,7.815754576788628,cuda,,0.12834695045986,,,,0.11374777093832,17.91322606000017,FDFL-Scal,2.0,64,FPLG,5.0
medical_resource_allocation,fplg,22,0,0.0,,,,805.3288929059127,30.558692105099617,178.18984009526727,4.2093205150000585,140,2.0,1638.6011309997457,12.534339000012553,0,0,81.84804913275097,20.24070183311046,87.74098591586673,138.7604092887995,0.1087801473429117,0.0509006751403924,0.8544888090954926,7.321610626457486,cuda,,0.1368784179684311,,,,0.1203984663663761,4.2093205150000585,FDFL-Scal,2.0,64,FPLG,0.0
medical_resource_allocation,fplg,22,1,0.5,,,,757.3943171925366,25.510030595180343,129.5419219122444,4.126593356999933,140,2.0,1616.9949509998105,12.309275999996316,0,0,38.86102494767239,17.095063547592133,30.827082458930537,105.1324396462371,-0.1793623293207708,-0.3220127267235748,0.3701565362511486,7.667658404128974,cuda,,0.1287311765774514,,,,0.1140494559278421,8.335913871999992,FDFL-Scal,2.0,64,FPLG,0.5
medical_resource_allocation,fplg,22,2,1.0,,,,751.8108278472209,24.65603531211618,126.34375630682511,4.406095106999942,140,2.0,1716.9645159993934,12.137778000010258,0,0,23.763605014347814,12.95902389532365,17.408775204144966,131.61856700330904,-0.4911251516132895,-0.5259274238568671,0.4585079557137437,7.732972385096569,cuda,,0.127782174008361,,,,0.1133039490721846,12.742008978999934,FDFL-Scal,2.0,64,FPLG,1.0
medical_resource_allocation,fplg,22,3,5.0,,,,753.6572791601529,28.733002500540938,138.2662421919815,4.620216195000012,140,2.0,1763.2548449996648,11.442425000041112,0,0,205.6458792848418,89.15936081330078,154.96519868220196,865.3291331922869,-0.0008426680738315,-0.1572594902772628,-0.1366351746377212,7.885400257577563,cuda,,0.1280960076939474,,,,0.1135506258512528,17.362225173999946,FDFL-Scal,2.0,64,FPLG,5.0
medical_resource_allocation,fplg,33,0,0.0,,,,812.0066528655871,31.900875054717872,179.00953261920185,4.175491410999939,140,2.0,1643.8531469999589,11.52004699997633,0,0,81.94394954094632,22.03033243084908,85.75016922049855,134.96872183575982,0.0915015047945116,0.0417136833366022,0.8484802187011,7.246430359428415,cuda,,0.1380134091837033,,,,0.1212757319640902,4.175491410999939,FDFL-Scal,2.0,64,FPLG,0.0
medical_resource_allocation,fplg,33,1,0.5,,,,757.0444515107301,25.01068414563454,129.72561364429228,4.181020417000013,140,2.0,1633.7980959998504,15.291375999936465,0,0,40.10915985603658,17.53769941295131,32.382331636491315,98.44525476815625,-0.1628157231386001,-0.3168278854862021,0.3648058893013051,7.600196241224353,cuda,,0.128671711355914,,,,0.1140027787188322,8.356511827999952,FDFL-Scal,2.0,64,FPLG,0.5
medical_resource_allocation,fplg,33,2,1.0,,,,751.5609716019953,24.077451766591537,126.14645506036692,4.759765367999989,140,2.0,1814.6805610001595,12.161632000015745,0,0,23.93958021242424,12.69162450308734,17.252673974312586,142.8483271669718,-0.496627472880648,-0.5378578839638798,0.4764491741399614,7.672032776267484,cuda,,0.127739706976733,,,,0.1132705589654018,13.116277195999942,FDFL-Scal,2.0,64,FPLG,1.0
medical_resource_allocation,fplg,33,3,5.0,,,,753.1386094753825,45.59483052204901,134.9604925311006,4.136642272000017,140,2.0,1624.0474209998863,12.187247999918329,0,0,215.3885521313872,84.88552359245014,170.04742823473077,918.1450972387428,0.01400490407818,-0.1438977305173983,-0.0177834278972799,7.801190254586318,cuda,,0.1280078515548532,,,,0.1134813480051636,17.25291946799996,FDFL-Scal,2.0,64,FPLG,5.0
medical_resource_allocation,fplg,44,0,0.0,,,,816.1695201577968,32.72521782472334,181.41289393948435,4.113537131000044,140,2.0,1603.13649800014,11.889605000078518,0,0,82.49946438124431,20.59587006702206,85.80751678464402,139.16801461532677,0.1276436576976472,0.063763798961694,0.8479864121095078,7.244225460155053,cuda,,0.1387209545036212,,,,0.1218217281020273,4.113537131000044,FDFL-Scal,2.0,64,FPLG,0.0
medical_resource_allocation,fplg,44,1,0.5,,,,756.7478319162992,26.092468096444907,130.6562947487969,4.855716553000093,140,2.0,1880.6515260002925,12.309523999988414,0,0,41.240998442067855,18.20915631544023,34.0160188058105,95.62067346009732,-0.1635969204813805,-0.2934091364536118,0.3698767639733693,7.592010497778555,cuda,,0.1286212961514158,,,,0.1139632014653744,8.969253684000137,FDFL-Scal,2.0,64,FPLG,0.5
medical_resource_allocation,fplg,44,2,1.0,,,,751.4120842807642,24.689921045853215,126.44959523835207,4.158653457000014,140,2.0,1624.6918869995852,12.375882999890564,0,0,24.661192816245663,12.320287848792317,17.673104034082982,155.36082456422062,-0.4852175717438712,-0.5258008963403837,0.4633704618015585,7.669828549448049,cuda,,0.1277144012151178,,,,0.1132506608743357,13.12790714100015,FDFL-Scal,2.0,64,FPLG,1.0
medical_resource_allocation,fplg,44,3,5.0,,,,753.180007684864,32.30544668797614,130.07233121382964,4.13842897699999,140,2.0,1607.456541000147,11.614946000008786,0,0,200.63760881808872,87.09584563025706,146.14320846038476,941.153544657338,-0.0145005187528111,-0.1927083636555102,0.1730879877839386,7.790125986496815,cuda,,0.1280148878371355,,,,0.1134868778927131,17.26633611800014,FDFL-Scal,2.0,64,FPLG,5.0
