method_label,lam,alpha_fair,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-Scal,0.5,2.0,5,0.12864691793913266,7.670564320589593e-05,25.63594310384308,0.4398071419715968,129.68804199322304,0.5786150067725839,-0.16537376332080156,0.019157303763758304,-0.3101724758235679,0.01689994579286452,0.37219106714808237,0.014625963423679346,4.339679725800011,0.30225623302031007
FDFL-Scal,1.0,2.0,5,0.1277575958925703,5.4111727958930024e-05,24.594071090337184,0.328214968219921,126.2614150333078,0.19547135950057398,-0.48898589082290556,0.005028390741412787,-0.5305599952729347,0.0049947297913823146,0.4626651643562287,0.008232662058940405,4.317586456599997,0.2737758094963299
FDFL-Scal,5.0,2.0,5,0.12802074412343165,0.0002543379135538692,32.51432116475471,8.320871199650167,135.10079878470896,5.331672935175655,-0.03417512108848614,0.04909315014302055,-0.20414545243612037,0.06396497177636838,-0.00323941756477768,0.17688496819552205,4.366526417600016,0.2471261919916076
FPTO,0.0,0.5,5,0.0602445878816366,0.002072562268167691,51.479291445765135,12.43079725153479,264.3800574476583,30.133990163776254,0.0,0.0,0.0,0.0,0.8834074595054308,0.009861639807304635,4.010389310799996,0.2829725586505368
FPTO,0.5,0.5,5,0.06199802697197854,0.0016036455712966063,33.413146657812206,1.6858436955111646,202.01334779743394,5.454643200345287,0.0,0.0,0.0,0.0,0.8227127648090111,0.0495590890907169,3.7573605027999974,0.2327468263292817
FPTO,1.0,0.5,5,0.05904922621252075,0.0010679941846081088,31.18152702426078,1.3250248604185908,187.3342252319298,3.6011390354172748,0.0,0.0,0.0,0.0,0.6751930725864319,0.05998302712477292,3.3799117514000274,0.008472870407518877
FPTO,5.0,0.5,5,0.052915540545107144,0.0007005062331567266,31.632429582973906,10.226686644223644,167.1268976974443,5.693447119019127,0.0,0.0,0.0,0.0,0.09651123058701772,0.035598367536182146,3.3905913469999858,0.03489021597415986
FPTO,0.0,2.0,5,0.19565025280085369,0.0075744038622802545,51.479291445765135,12.43079725153479,264.3800574476583,30.133990163776254,0.0,0.0,0.0,0.0,0.8834074595054308,0.009861639807304635,3.563788112800006,0.37706250624899584
FPTO,0.5,2.0,5,0.19424326345033394,0.009288878178189996,33.413146657812206,1.6858436955111646,202.01334779743394,5.454643200345287,0.0,0.0,0.0,0.0,0.8227127648090111,0.0495590890907169,3.428196135199977,0.021659501072060296
FPTO,1.0,2.0,5,0.18303185337755581,0.0067187143481925015,31.18152702426078,1.3250248604185908,187.3342252319298,3.6011390354172748,0.0,0.0,0.0,0.0,0.6751930725864319,0.05998302712477292,3.8504757920000032,0.1914406302904031
FPTO,5.0,2.0,5,0.1639470167311551,0.004124028019879651,31.632429582973906,10.226686644223644,167.1268976974443,5.693447119019127,0.0,0.0,0.0,0.0,0.09651123058701772,0.035598367536182146,3.795301185999989,0.2262887633678031
