task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,saa,55,0,0.0,,,,72.65673283703174,1.348541085831303,4.641473565934843,7.952099986141548e-05,0,160.0,0.0,1225.8616130000064,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33190865453387,cpu,,0.1641824035861173,,0.4057643544468026,,,7.952099986141548e-05,SAA,2.0,high,0.5,0.75,SAA
md_knapsack,wdro,11,0,0.0,,,,73.34085705439252,2.172355311725242,5.3602841684697955,0.21152426000003288,0,160.0,0.0,794.686468000009,0,0,0.5629776334129893,0.5620272598299798,0.5626073197288579,0.5655406605221349,0.0,0.0,0.0,7.3968303265865165,cpu,,0.16520146649787765,,0.4092185418473928,,,0.21152426000003288,WDRO,2.0,high,0.5,0.75,WDRO
md_knapsack,wdro,22,0,0.0,,,,73.38832865865149,2.1654276176311713,5.419792523720441,0.21270592599989868,0,160.0,0.0,756.6082949999782,0,0,0.43766534900102416,0.4371818217418235,0.4374486573142523,0.43839909732444005,0.0,0.0,0.0,7.487092816297366,cpu,,0.16572382810447683,,0.4107814330801271,,,0.21270592599989868,WDRO,2.0,high,0.5,0.75,WDRO
md_knapsack,wdro,33,0,0.0,,,,72.6710328938087,2.1332615024411954,5.3539765757354125,0.20513848199993845,0,160.0,0.0,756.4148240001032,0,0,0.5478068416936304,0.5459929082634294,0.5477350347512389,0.5498315081305953,0.0,0.0,0.0,7.241839177534915,cpu,,0.16395256136775932,,0.40534646889201376,,,0.20513848199993845,WDRO,2.0,high,0.5,0.75,WDRO
md_knapsack,wdro,44,0,0.0,,,,73.01040713503922,2.175238290831561,5.430348112553428,0.20799667000005684,0,160.0,0.0,739.3317309999929,0,0,0.4606229251346477,0.46039027109471153,0.4605619808596262,0.4609607820161008,0.0,0.0,0.0,7.273933426916182,cpu,,0.16472762285654294,,0.40739839178481096,,,0.20799667000005684,WDRO,2.0,high,0.5,0.75,WDRO
md_knapsack,wdro,55,0,0.0,,,,71.80790202585675,2.1644745883263594,5.419144242923976,0.19691337400013254,0,160.0,0.0,722.315657000081,0,0,0.5783281128968737,0.5775329950494418,0.5782298736559984,0.5793226902283553,0.0,0.0,0.0,7.3316135625940735,cpu,,0.16159782148913132,,0.39817493960420064,,,0.19691337400013254,WDRO,2.0,high,0.5,0.75,WDRO
md_knapsack,fplg,11,0,0.0,,,,72.77211401476504,2.1602311808885597,5.343491154908992,16.060665857000004,2880,160.0,15892.924853000295,811.5636899999572,0,0,3.2725148358100578,0.3625997611604405,3.7824734562410423,6.130268865809707,0.10486255880650223,0.07584225075544682,0.65059544470227,7.396547475324638,cpu,,0.16411782160041238,,0.4059342693893271,,,16.060665857000004,FDFL-Scal,2.0,high,0.5,0.75,FPLG
md_knapsack,fplg,11,1,0.5,,,,72.03605780981803,2.1370142596120765,5.311456947612753,15.881556224000178,2880,160.0,15718.848238000874,761.8333799998709,0,0,3.70922835410816,0.5682123736116851,4.045455233971465,8.037012817261372,0.07013039591321553,0.08024398511057731,0.6543893005989124,7.39820307839188,cpu,,0.16269816169496137,,0.4016760365000109,,,31.942222081000182,FDFL-Scal,2.0,high,0.5,0.75,FPLG
md_knapsack,fplg,11,2,1.0,,,,71.16526145961512,2.109552490149988,5.273168890676255,16.14533569199989,2880,160.0,15984.413072999814,1176.8007539999417,0,0,4.352626690255821,0.6990708156575447,5.010786420623964,8.561093278589667,0.08781513407474076,0.04589602896876716,0.6654411346505148,7.402332542119788,cpu,,0.1610169491054251,,0.3966666736386891,,,48.08755777300007,FDFL-Scal,2.0,high,0.5,0.75,FPLG
md_knapsack,fplg,11,3,5.0,,,,69.61486920308275,2.052659579940159,5.206863065896255,17.18243752300009,2880,160.0,17003.92796199958,1242.2496789999968,0,0,8.273149585352481,1.770738954498237,8.758380823937195,15.39046684159297,0.08560100388426817,0.08539545101756223,0.6435090963959327,7.414463147162909,cpu,,0.157894903875262,,0.3875150332448302,,,65.26999529600016,FDFL-Scal,2.0,high,0.5,0.75,FPLG
md_knapsack,fplg,22,0,0.0,,,,72.9745920239232,2.158150553347922,5.408532132391943,15.454323972999873,2880,160.0,15275.832486001036,741.088475999959,0,0,2.8356953069230193,0.3049923107409449,3.2143748211193044,5.7339393304322135,0.10928807179907789,0.07075137058852339,0.5367048323814052,7.486639250087993,cpu,,0.164936009211809,,0.4083826620836021,,,15.454323972999873,FDFL-Scal,2.0,high,0.5,0.75,FPLG
